match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,31,0,0,3,3,30-0,7,TRUE,1,6s3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,32,0,0,3,3,40-0,7,TRUE,1,6f3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,33,0,0,4,3,0-0,8,TRUE,2,6d,5b28f38f1d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,34,0,0,4,3,15-0,8,TRUE,2,4b29f18f39b2d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,35,0,0,4,3,15-15,8,TRUE,2,6x,5f29f17f+39b3o27l1v37*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,36,0,0,4,3,15-30,8,TRUE,2,4b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,37,0,0,4,3,30-30,8,TRUE,2,4r28f+18f37*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,38,0,0,4,3,30-40,8,TRUE,2,4b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,39,0,0,4,3,40-40,8,TRUE,2,4r27f+39b3n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,40,0,0,4,3,AD-40,8,TRUE,2,6d,5f28f38b38b38b37b39b29f28b39b38b19f28y+17*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,41,0,0,4,3,40-40,8,TRUE,2,6b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,42,0,0,4,3,AD-40,8,TRUE,2,4n,5b29f3w#,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,43,0,0,4,3,40-40,8,TRUE,2,5b29b28f18f18f18f39b38b38f28b38y17f19f3d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,44,0,0,4,3,AD-40,8,TRUE,2,4d,4b39b18f19f29f28f38b38b39b39s38f19f19f29f29b38b38b1n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,45,0,0,4,4,0-0,9,TRUE,1,6b18f19l1f28*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,46,0,0,4,4,15-0,9,TRUE,1,5d;,4b2n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,47,0,0,4,4,30-0,9,TRUE,1,6*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,48,0,0,4,4,40-0,9,TRUE,1,4n,4b38b!3x@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,49,0,0,4,4,40-15,9,TRUE,1,4n,5f17f19f29b29f38b39b3d@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,50,0,0,5,4,0-0,10,TRUE,2,4n,4f2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,51,0,0,5,4,15-0,10,TRUE,2,4n,5b28f19f17f39b28f19f18f17f18f39b2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,52,0,0,5,4,30-0,10,TRUE,2,6n,6b3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,53,0,0,5,4,40-0,10,TRUE,2,6f28f18f3n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,54,0,0,5,5,0-0,11,TRUE,1,4f28f+39s2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,55,0,0,5,5,15-0,11,TRUE,1,4b29f29b2d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,56,0,0,5,5,30-0,11,TRUE,1,6b27f28f1d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,57,0,0,5,5,40-0,11,TRUE,1,4s2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,58,0,0,6,5,0-0,12,TRUE,2,6s39f38s2n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,59,0,0,6,5,15-0,12,TRUE,2,6f2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,60,0,0,6,5,30-0,12,TRUE,2,6s2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,61,0,0,6,5,40-0,12,TRUE,2,6d,4b29f38b3n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,62,0,0,6,6,0-0,13,TRUE,1,4f1n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,63,0,0,6,6,0-1,13,TRUE,2,6f1w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,64,0,0,6,6,1-1,13,TRUE,2,4r27y+17*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,65,0,0,6,6,1-2,13,TRUE,1,6d,4b38b39b29f39b39b39b38b19f18f39b2n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,66,0,0,6,6,2-2,13,TRUE,1,4*,,Unsuccessful challenge from RBA,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,67,0,0,6,6,2-3,13,TRUE,2,6f39f38*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,68,0,0,6,6,3-3,13,TRUE,2,6b29f29f28f39b38b39b2d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,69,0,0,6,6,3-4,13,TRUE,1,6w,4b39b3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,70,0,0,6,6,3-5,13,TRUE,1,6n,5b39b37s39f3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,71,0,0,6,6,6-3,13,TRUE,2,6f29f39f3x@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,72,0,1,0,0,0-0,14,TRUE,2,6b38b39b38b28b38b38f38b28f;3w@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,73,0,1,0,0,15-0,14,TRUE,2,4b38f18r28f38*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,74,0,1,0,0,30-0,14,TRUE,2,5b29f18f18f27f+39b1v^17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,75,0,1,0,0,30-15,14,TRUE,2,6f28f18f38b28s39b27s+39m3o17l19f38b29f37b28f1w@,,,2
